Course,Site,Free?
Oracle II: Consultas Complexas -  Intermediário,https://www.alura.com.br/,No
Certificação Oracle SQL Fundamentals 1: Introduction to Oracle -  Básico,https://www.alura.com.br/,No
Certificação Oracle SQL Fundamentals 2: Retrieving Data -  Básico,https://www.alura.com.br/,No
Certificação Oracle SQL Fundamentals 3: Single Row Functions -  Básico,https://www.alura.com.br/,No
Certificação Oracle SQL Fundamentals 4: Group Functions -  Básico,https://www.alura.com.br/,No
Certificação Oracle SQL Fundamentals 5: Joins e Subquerys -  Básico,https://www.alura.com.br/,No
Certificação Oracle SQL Fundamentals 6: DML e Transaction Control -  Básico,https://www.alura.com.br/,No
Certificação Oracle SQL Fundamentals 7: Data definition language -  Básico,https://www.alura.com.br/,No
Data analysis: trabalhando com dados e estatísticas -  Básico,https://www.alura.com.br/,No
Machine Learning: Introdução a classificação -  Básico,https://www.alura.com.br/,No
Machine Learning II: Avançando com tipos diferentes de classificação -  Intermediário,https://www.alura.com.br/,No
Redis I: Armazenando chaves e valores -  Básico,https://www.alura.com.br/,No
Redis II: Estruturas e recursos na sua base NoSQL -  Básico,https://www.alura.com.br/,No
MongoDB: Uma alternativa aos bancos relacionais tradicionais -  Básico,https://www.alura.com.br/,No
Elasticsearch: Pesquisando e analisando os seus dados -  Intermediário,https://www.alura.com.br/,No
Linux I: Conhecendo e utilizando o terminal -  Básico,https://www.alura.com.br/,No
"Linux II: Programas, processos e pacotes -  Intermediário",https://www.alura.com.br/,No
Certificação Linux LPI Essentials 1: Evolution and Distributions -  Básico,https://www.alura.com.br/,No
Certificação Linux LPI Essentials 2: Open Source Software and Licensing -  Básico,https://www.alura.com.br/,No
Certificação Linux LPI Essentials 3: Command Line Basics -  Básico,https://www.alura.com.br/,No
Certificação Linux LPI Essentials 4: Using the command line to get help -  Básico,https://www.alura.com.br/,No
Certificação Linux LPI Essentials 5: Directories and Listing Files and managing files -  Básico,https://www.alura.com.br/,No
Certificação Linux LPI Essentials 6: Archiving Files on the Command Line -  Básico,https://www.alura.com.br/,No
Certificação Linux LPI Essentials 7: Searching and Extracting Data from Files -  Básico,https://www.alura.com.br/,No
Certificação Linux LPI Essentials 8: Turning Commands into a Script -  Básico,https://www.alura.com.br/,No
Git: Controle e compartilhe seu código -  Intermediário,https://www.alura.com.br/,No
Maven: Build do zero a web -  Básico,https://www.alura.com.br/,No
Ant: Build robusto para projetos Java -  Básico,https://www.alura.com.br/,No
Ivy: Gerenciamento de dependências flexível -  Intermediário,https://www.alura.com.br/,No
Vagrant: Automatização e implementação de entrega contínua -  Básico,https://www.alura.com.br/,No
Docker: Criando containers sem dor de cabeça -  Básico,https://www.alura.com.br/,No
Integração Contínua: Maturidade e Produtividade no Desenvolvimento de Software -  Intermediário,https://www.alura.com.br/,No
Windows: Introdução ao Prompt -  Básico,https://www.alura.com.br/,No
Windows Server -  Básico,https://www.alura.com.br/,No
Swift I: desenvolvendo para iOS no Xcode -  Básico,https://www.alura.com.br/,No
Swift II: um aplicativo de refeições -  Básico,https://www.alura.com.br/,No
"Swift III: dados, técnicas e melhorias no iOS -  Básico",https://www.alura.com.br/,No
Objective-C: programando para iPhone e iPad -  Básico,https://www.alura.com.br/,No
Android I: Crie sua App fantástica no Eclipse -  Básico,https://www.alura.com.br/,No
Android II: Imersão em interfaces e recursos -  Intermediário,https://www.alura.com.br/,No
Android III: Integrações e Mapas para turbinar sua App -  Intermediário,https://www.alura.com.br/,No
Android I: Crie sua App fantástica com Android Studio -  Básico,https://www.alura.com.br/,No
Android II: Integração com apps e recursos do device -  Básico,https://www.alura.com.br/,No
"Android III: Aprimore sua app com Fragments, Google Maps e GPS -  Básico",https://www.alura.com.br/,No
"Cordova & PhoneGap: Apps mobile com HTML, CSS e JS -  Intermediário",https://www.alura.com.br/,No
Xamarin: Criando aplicações mobile multiplataforma -  Intermediário,https://www.alura.com.br/,No
Ionic: desenvolvimento de aplicações híbridas mobile -  Básico,https://www.alura.com.br/,No
Jogos com Android I: Desenvolvimento de jogos 2D -  Básico,https://www.alura.com.br/,No
Jogos com Android II: Desenvolva seu próprio Flappy Bird -  Básico,https://www.alura.com.br/,No
Jogos mobile com Unity: Diversão com a Game Engine -  Intermediário,https://www.alura.com.br/,No
Lógica de programação I: Os primeiros programas com Javascript e HTML -  Básico,https://www.alura.com.br/,No
"Lógica de Programação II: Funções, Desenhos e um Jogo -  Básico",https://www.alura.com.br/,No
Arduino: Do zero ao jogo -  Intermediário,https://www.alura.com.br/,No
Java I: Primeiros passos -  Básico,https://www.alura.com.br/,No
Java II: Orientação a Objetos -  Básico,https://www.alura.com.br/,No
Java III: Principais APIs e bibliotecas -  Básico,https://www.alura.com.br/,No
Refatorando na prática -  Básico,https://www.alura.com.br/,No
Java 8: Tire proveito dos novos recursos da linguagem -  Intermediário,https://www.alura.com.br/,No
Threads 1: Programação paralela em Java -  Intermediário,https://www.alura.com.br/,No
Threads 2: Programação concorrente avançada -  Avançado,https://www.alura.com.br/,No
Java Reflection: mágica e meta programação -  Intermediário,https://www.alura.com.br/,No
Eclipse: Produtividade Extrema na IDE com Java -  Básico,https://www.alura.com.br/,No
Jasper Reports: Relatórios com Java -  Intermediário,https://www.alura.com.br/,No
Java: Dominando as Collections -  Intermediário,https://www.alura.com.br/,No
C# I: Fundamentos da linguagem -  Básico,https://www.alura.com.br/,No
C# II: Orientação a objetos -  Básico,https://www.alura.com.br/,No
C# III: Tópicos Avançados -  Básico,https://www.alura.com.br/,No
NHibernate: Persistência de dados com C# -  Básico,https://www.alura.com.br/,No
Entity Framework: Banco de dados de forma eficiente -  Básico,https://www.alura.com.br/,No
Ruby I: Introdução a lógica de programação com jogos -  Básico,https://www.alura.com.br/,No
Ruby II: Continuando seus primeiros passos na programação -  Básico,https://www.alura.com.br/,No
Ruby III: Mais lógica de programação em um novo jogo -  Básico,https://www.alura.com.br/,No
Orientação a Objetos: Melhores técnicas com Ruby -  Básico,https://www.alura.com.br/,No
PHP e MySQL I: Fundamentos para criar um sistema na Web -  Básico,https://www.alura.com.br/,No
"PHP e MySQL II: Cookies, sessões e mais recursos -  Básico",https://www.alura.com.br/,No
PHP I: Orientação a objetos com sua linguagem preferida -  Básico,https://www.alura.com.br/,No
PHP II: Avançando com Orientação a objetos -  Intermediário,https://www.alura.com.br/,No
PHP 7: refatorando para a nova versão. -  Básico,https://www.alura.com.br/,No
PDO: trabalhando com diversos bancos -  Básico,https://www.alura.com.br/,No
Design Patterns PHP I: Boas práticas de programação -  Intermediário,https://www.alura.com.br/,No
Design Patterns PHP II: Boas práticas de programação -  Intermediário,https://www.alura.com.br/,No
SOLID com PHP: Orientação a Objetos com PHP -  Avançado,https://www.alura.com.br/,No
CodeIgniter I: Programando elegantemente para a web -  Básico,https://www.alura.com.br/,No
CodeIgniter II: Mais técnicas e boas práticas -  Avançado,https://www.alura.com.br/,No
Laravel: facilitando o desenvolvimento PHP -  Básico,https://www.alura.com.br/,No
Laravel II: Mais técnicas e webapps poderosas -  Básico,https://www.alura.com.br/,No
CakePHP I: Acelere o desenvolvimento web -  Básico,https://www.alura.com.br/,No
"CakePHP II: Validação, emails e mais recursos -  Básico",https://www.alura.com.br/,No
Zend Framework: Mais prática do seu framework predileto -  Básico,https://www.alura.com.br/,No
Zend Framework: Seu desenvolvimento PHP acelerado -  Básico,https://www.alura.com.br/,No
Testes: TDD com PHP -  Básico,https://www.alura.com.br/,No
Python I: Programando com a linguagem -  Intermediário,https://www.alura.com.br/,No
Design Patterns Python I: Boas práticas de programação -  Intermediário,https://www.alura.com.br/,No
Design Patterns Python II: Boas práticas de programação -  Intermediário,https://www.alura.com.br/,No
Django: programação web com Python e simplicidade -  Básico,https://www.alura.com.br/,No
Servlets: Fundamentos de Java na Web -  Básico,https://www.alura.com.br/,No
Java e JSTL: Tags para facilitar o desenvolvimento JSP -  Básico,https://www.alura.com.br/,No
"Java e XML: integração, parsing e validação -  Intermediário",https://www.alura.com.br/,No
XStream: Consumindo o XML sem esforço -  Básico,https://www.alura.com.br/,No
VRaptor3: Suas aplicações web em java mais produtivas -  Básico,https://www.alura.com.br/,No
VRaptor4: Alta produtividade com aplicações web em java -  Básico,https://www.alura.com.br/,No
VRaptor e JPA: Pratique Java com um sistema completo -  Intermediário,https://www.alura.com.br/,No
Java e JSF I: Sua aplicação web com JSF2 -  Intermediário,https://www.alura.com.br/,No
Java e JSF 2 - II: Componentes ricos com Primefaces -  Intermediário,https://www.alura.com.br/,No
Java e JSF 2 - III: Integração com CDI -  Intermediário,https://www.alura.com.br/,No
Spring MVC: É hora de criar uma webapp com Spring MVC4 -  Básico,https://www.alura.com.br/,No
Spring MVC I: Criando aplicações web -  Básico,https://www.alura.com.br/,No
"Spring MVC II: Integração, cache, segurança e templates -  Intermediário",https://www.alura.com.br/,No
Spring Boot: Agilidade no desenvolvimento java com Spring -  Intermediário,https://www.alura.com.br/,No
EJB: O poder da Java EE -  Avançado,https://www.alura.com.br/,No
Java: Laboratório web de práticas e tecnologias -  Avançado,https://www.alura.com.br/,No
ASP.NET MVC 5: O framework pronto para a web -  Básico,https://www.alura.com.br/,No
ASP.NET: Razor -  Básico,https://www.alura.com.br/,No
Projeto Completo: Controle Financeiro com Asp.NET MVC 5 -  Avançado,https://www.alura.com.br/,No
Ruby on Rails 3 parte I -  Básico,https://www.alura.com.br/,No
Ruby on Rails 3 parte II -  Intermediário,https://www.alura.com.br/,No
Ruby on Rails 3 parte III -  Intermediário,https://www.alura.com.br/,No
Ruby on Rails 4: do zero à web -  Básico,https://www.alura.com.br/,No
JAX-RS e Jersey : Domine a criação de webservices REST -  Intermediário,https://www.alura.com.br/,No
JAX-WS : Domine a criação de webservices SOAP -  Intermediário,https://www.alura.com.br/,No
JMS e ActiveMQ: Mensageria com Java -  Intermediário,https://www.alura.com.br/,No
Apache Camel: O framework de integração entre sistemas -  Intermediário,https://www.alura.com.br/,No
Rest Assured: Testes automatizado de webservice -  Intermediário,https://www.alura.com.br/,No
WCF : Distribua seus sistemas em .NET -  Básico,https://www.alura.com.br/,No
Web API 2 : O framework de criação web services REST no .NET -  Intermediário,https://www.alura.com.br/,No
Testes: TDD com Java -  Intermediário,https://www.alura.com.br/,No
Mock: Testes de comportamentos automatizados em Java -  Intermediário,https://www.alura.com.br/,No
Teste de Integração: Testes SQL e DAOs automatizados em java -  Básico,https://www.alura.com.br/,No
Selenium: Sua webapp testada de ponta a ponta em java -  Intermediário,https://www.alura.com.br/,No
Testes: TDD com C# -  Intermediário,https://www.alura.com.br/,No
Mock: Testes de comportamentos automatizados em .NET -  Intermediário,https://www.alura.com.br/,No
Selenium: Testes automatizados de aceitação em .NET -  Intermediário,https://www.alura.com.br/,No
Design Patterns C# I: Boas práticas de programação -  Intermediário,https://www.alura.com.br/,No
Design Patterns C# II: Boas práticas de programação -  Intermediário,https://www.alura.com.br/,No
SOLID com C#: Orientação a Objetos com C# -  Avançado,https://www.alura.com.br/,No
Orientação a Objetos: Melhores técnicas com Java -  Intermediário,https://www.alura.com.br/,No
Design Patterns Java I: Boas práticas de programação -  Intermediário,https://www.alura.com.br/,No
Design Patterns Java II: Boas praticas de programação -  Intermediário,https://www.alura.com.br/,No
SOLID com Java: Orientação a Objetos com Java -  Avançado,https://www.alura.com.br/,No
"Java: Laboratório com Testes, JSF e Design Patterns I -  Intermediário",https://www.alura.com.br/,No
"Java: Laboratório com Testes, JSF e Design Patterns II -  Intermediário",https://www.alura.com.br/,No
Certificação Java SE 7 Programmer I: O básico de Java -  Intermediário,https://www.alura.com.br/,No
Certificação Java SE 7 Programmer I: Tipos de Dados -  Intermediário,https://www.alura.com.br/,No
Certificação Java SE 7 Programmer I: Operadores -  Intermediário,https://www.alura.com.br/,No
Certificação Java SE 7 Programmer I: Laços -  Intermediário,https://www.alura.com.br/,No
Certificação Java SE 7 Programmer I: Criando e usando Arrays -  Intermediário,https://www.alura.com.br/,No
Certificação Java SE 7 Programmer I: Métodos e encapsulamento -  Intermediário,https://www.alura.com.br/,No
Certificação Java SE 7 Programmer I: Relações entre classes -  Intermediário,https://www.alura.com.br/,No
Certificação Java SE 7 Programmer I: Lidando com exceções -  Intermediário,https://www.alura.com.br/,No
Certificação Java SE 8 Programmer I: Conteúdo além da prova -  Avançado,https://www.alura.com.br/,No
Java e JDBC: Trabalhando com um banco de dados -  Básico,https://www.alura.com.br/,No
Java e JPA: Persista seus objetos com a JPA2 e Hibernate -  Intermediário,https://www.alura.com.br/,No
Java e JPA: Otimizações com JPA2 e Hibernate -  Avançado,https://www.alura.com.br/,No
Clojure: Introdução a programação funcional -  Básico,https://www.alura.com.br/,No
C I: Introdução à Linguagem das Linguagens -  Básico,https://www.alura.com.br/,No
C II: Avançando na linguagem -  Básico,https://www.alura.com.br/,No
C III: Recursos avançados da linguagem -  Básico,https://www.alura.com.br/,No
Estrutura de Dados: Computação na prática com Java -  Intermediário,https://www.alura.com.br/,No
Estatística I: Entenda seus dados com R -  Básico,https://www.alura.com.br/,No
Estatística II: Aprofundando em hipóteses e correlações -  Básico,https://www.alura.com.br/,No
"Algoritmos I: Selection, Insertion e Introdução a Análise -  Básico",https://www.alura.com.br/,No
"Algoritmos II: MergeSort, QuickSort, Busca Binária e Análise de Algoritmo -  Intermediário",https://www.alura.com.br/,No
Análise de Balanços,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Contabilidade Empresarial,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Matemática Financeira com o uso da HP 12C,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Administração e Planejamento de Finanças Pessoais,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Aprendendo na Web (NOVO),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Atendimento ao Público (NOVO),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Comunicação Escrita ,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Currículo sem Segredo,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
De Acordo com o Novo Acordo,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Dinâmicas e Testes na Seleção,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Economia de Energia,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Ensinando com a Web (NOVO),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Entrevista: Como encará-la!,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Família+Segura na Internet,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Introdução à Fotografia Digital,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Organização Pessoal (NOVO),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Postura e Imagem Profissional,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Técnicas de Lazer e Recreação (NOVO),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Administrando e Armazenando Dados com SQL Server 2005,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Modelagem de Dados,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Projetando e Implementando Dados com SQL Server 2005,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Análise Estruturada de Sistemas,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Aplicações Java Mobile (J2ME),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Aplicações Windows Mobile,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
C++ - Desenvolvimento Orientado a Objeto,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
CMM - Sistema de Modelagem para Desenvolvimento de Software,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Engenharia de Requisitos,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Expression Blend,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Fundamentos das Aplicações Móveis (J2ME),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
HTML - Avançado,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
HTML - Básico,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Ilustração & Design Gráfico para Web,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Inovando com CSS,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Introdução ao JavaScript,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Lógica de Programação,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Processo de Desenvolvimento de Software,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Programação em C#,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
"Revisões, Verificações e Inspeções",http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Silverlight,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
